No,Namespace,Variable,Greenfields Primary School - 133603,Montgomery Primary Academy - 138864,Nishkam Primary School Birmingham - 137492,The Rosary Catholic Primary School - 148439,The Rosary Catholic Primary School - 103428,"St Michael's CofE Primary Academy, Handsworth - 138433",Somerville Primary (NC) School - 103256,Birchfield Primary School - 146075,Welford Primary School - 103328,Edgbaston High School for Girls - 103567,Parkfield Community School - 139162,Sacred Heart Catholic School - 103477,Sacred Heart Catholic School - 147109,Benson Community School - 103362,Conway Primary School - 143086,St Paul's School - 135208,Ark Tindal Primary Academy - 138397,Nechells Primary E-ACT Academy - 138396,Marlborough Junior School - 103312,Marlborough Junior School - 145243,Clifton Primary School - 134840,Yew Tree Community Junior and Infant School (NC) - 142858,Westminster Primary School - 143943,Marlborough Primary School - 146701,Marlborough Infant School - 103232,Summerfield Junior and Infant School - 103196,Highfield Junior and Infant School - 142570,Nelson Mandela School - 103384,"The Olive School, Small Heath - 147452",Shaw Hill Primary School - 103157,Canterbury Cross Primary School - 143942,St Clare's Catholic Primary School - 103476,Nansen Primary School - 138799,City Road Primary School - 146385,Oasis Academy Foundry - 140161,Holy Trinity CE Primary Academy (Handsworth) - 140463,Hamd House School - 131687,Leigh Primary School - 140502,Park Hill Primary School - 103241,St John and Monica Catholic Primary School - 103478,"St Marys C of E Primary and Nursery, Academy, Handsworth - 139041",King Edward VI Handsworth School - 137047,Darul Uloom Islamic High School - 103586,Jamia Islamia Birmingham - 134571,St Paul's School for Girls - 103531,Broadway Academy - 139841,Elmhurst Ballet School - 134908,Rockwood Academy - 138059,"Eden Boys' Leadership Academy, Birmingham East - 145878",Al-Noor Girls Secondary School - 136037,National state-funded primary,National state-funded secondary and 16 to 18,Description
1327,KS2_19,PTFSM6CLA1A_18,,47%,10%,,56%,56%,48%,,57%,,53%,60%,,61%,59%,,63%,66%,43%,,54%,52%,48%,,,60%,55%,57%,,56%,32%,42%,62%,,74%,46%,,32%,48%,43%,47%,,,,,,,,,,31%,,Percentage of key stage 2 disadvantaged pupils one year prior
1328,KS2_19,PTNOTFSM6CLA1A_18,,53%,90%,,44%,44%,52%,,43%,,47%,40%,,39%,41%,,37%,34%,57%,,46%,48%,52%,,,40%,45%,43%,,44%,68%,58%,38%,,26%,54%,,68%,52%,57%,53%,,,,,,,,,,69%,,Percentage of key stage 2 pupils who are not disadvantaged one year prior
1329,KS2_19,PTRWM_EXP_18,,83%,72%,,68%,48%,78%,,54%,,67%,63%,,40%,67%,,72%,0%,62%,,53%,70%,68%,,,66%,54%,90%,,81%,71%,58%,40%,,65%,58%,,73%,53%,73%,60%,,,,,,,,,,64%,,"Percentage of pupils reaching the expected standard in reading, writing and maths one year prior"
1330,KS2_19,PTRWM_HIGH_18,,13%,22%,,2%,0%,4%,,2%,,7%,17%,,7%,5%,,12%,0%,11%,,3%,16%,8%,,,0%,3%,18%,,14%,5%,5%,3%,,13%,4%,,12%,9%,17%,7%,,,,,,,,,,10%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing  one year prior
1331,KS2_19,PTRWM_EXP_FSM6CLA1A_18,,82%,67%,,66%,43%,67%,,49%,,62%,61%,,37%,65%,,69%,0%,58%,,44%,66%,62%,,,60%,59%,88%,,79%,60%,52%,38%,,76%,42%,,67%,52%,69%,40%,,,,,,,,,,51%,,"Percentage of disadvantaged pupils reaching the expected standard in reading, writing and maths one year prior"
1332,KS2_19,PTRWM_HIGH_FSM6CLA1A_18,,15%,33%,,3%,0%,4%,,3%,,6%,17%,,8%,9%,,6%,0%,13%,,0%,17%,3%,,,0%,2%,9%,,12%,10%,4%,3%,,18%,0%,,21%,7%,8%,5%,,,,,,,,,,4%,,Percentage of disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing one year prior
1333,KS2_19,PTRWM_EXP_NOTFSM6CLA1A_18,,84%,72%,,72%,55%,88%,,62%,,74%,67%,,44%,71%,,76%,0%,65%,,64%,74%,74%,,,75%,47%,92%,,85%,76%,63%,42%,,33%,71%,,76%,54%,76%,78%,,,,,,,,,,70%,,"Percentage of non-disadvantaged pupils reaching the expected standard in reading, writing and maths one year prior"
1334,KS2_19,PTRWM_HIGH_NOTFSM6CLA1A_18,,11%,20%,,0%,0%,4%,,0%,,7%,17%,,6%,0%,,24%,0%,9%,,5%,15%,13%,,,0%,4%,31%,,15%,2%,6%,2%,,0%,7%,,8%,11%,24%,9%,,,,,,,,,,12%,,Percentage of non-disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing one year prior
1335,KS2_19,READPROG_18,,2.9,-1.8,,-0.3,-3.2,2.3,,-1.8,,-0.8,1.3,,-2.3,0,,3.7,NA,-1.2,,-0.8,1.2,-0.9,,,1.6,0,3.5,,0.9,1,-0.3,-3.5,,3.3,-1.1,,0,0.3,-2.6,-1.4,,,,,,,,,,,,Reading progress measure one year prior
1336,KS2_19,READPROG_LOWER_18,,1.6,-3.3,,-1.9,-5.8,1.1,,-3.3,,-2.1,-1.1,,-3.8,-1.5,,2,NA,-2.5,,-1.9,-0.4,-2.5,,,-0.1,-1.1,2,,-0.6,-0.5,-2,-4.6,,0.6,-3.5,,-1.5,-1,-4.8,-3.2,,,,,,,,,,,,Reading progress measure - lower confidence limit one year prior
1337,KS2_19,READPROG_UPPER_18,,4.2,-0.3,,1.3,-0.6,3.5,,-0.3,,0.5,3.7,,-0.8,1.5,,5.4,NA,0.1,,0.3,2.8,0.7,,,3.3,1.1,5,,2.4,2.5,1.4,-2.4,,6,1.3,,1.5,1.6,-0.4,0.4,,,,,,,,,,,,Reading progress measure - upper confidence limit one year prior
1338,KS2_19,WRITPROG_18,,2.7,0,,-1.6,-4.6,1.2,,-1.6,,-1.2,0.8,,2,0.6,,4.3,3,0.8,,1.1,1.4,-1.3,,,1.3,-0.1,1.2,,1,0.2,-2.4,-2.6,,6.5,0.1,,1.7,0.8,-2.9,0.2,,,,,,,,,,,,Writing progress measure  one year prior
1339,KS2_19,WRITPROG_LOWER_18,,1.5,-1.5,,-3.2,-7.1,0,,-3,,-2.4,-1.5,,0.6,-0.9,,2.7,0.8,-0.4,,0,-0.1,-2.8,,,-0.3,-1.2,-0.3,,-0.5,-1.2,-4,-3.7,,3.9,-2.2,,0.3,-0.5,-5,-1.5,,,,,,,,,,,,Writing progress measure - lower confidence limit  one year prior
1340,KS2_19,WRITPROG_UPPER_18,,3.9,1.5,,0,-2.1,2.4,,-0.2,,0,3.1,,3.4,2.1,,5.9,5.2,2,,2.2,2.9,0.2,,,2.9,1,2.7,,2.5,1.6,-0.8,-1.5,,9.1,2.4,,3.1,2.1,-0.8,1.9,,,,,,,,,,,,Writing progress measure - upper confidence limit one year prior
1341,KS2_19,MATPROG_18,,3.4,1.2,,-0.4,-2.8,3.7,,-2.1,,0.1,3.6,,0.5,1.8,,3.9,NA,0.3,,1.2,3.7,0.6,,,6.5,-0.9,3.9,,2.7,2,-0.7,-3.5,,5.3,-2.3,,3.2,-0.5,-0.9,-1.6,,,,,,,,,,,,Maths progress measure one year prior
1342,KS2_19,MATPROG_LOWER_18,,2.2,-0.2,,-1.9,-5.1,2.6,,-3.5,,-1,1.4,,-0.9,0.4,,2.4,NA,-0.8,,0.2,2.3,-0.8,,,4.9,-1.9,2.5,,1.3,0.6,-2.2,-4.5,,2.9,-4.5,,1.9,-1.7,-2.9,-3.2,,,,,,,,,,,,Maths progress measure - lower confidence limit one year prior
1343,KS2_19,MATPROG_UPPER_18,,4.6,2.6,,1.1,-0.5,4.8,,-0.7,,1.2,5.8,,1.9,3.2,,5.4,NA,1.4,,2.2,5.1,2,,,8.1,0.1,5.3,,4.1,3.4,0.8,-2.5,,7.7,-0.1,,4.5,0.7,1.1,0,,,,,,,,,,,,Maths progress measure - upper confidence limit one year prior
1344,KS2_19,READ_AVERAGE_18,,107,104,,104,102,106,,104,,105,103,,100,104,,105,,102,,100,105,104,,,103,101,110,,106,105,103,101,,104,103,,105,104,105,103,,,,,,,,,,105,,Average scaled score in reading one year prior
1345,KS2_19,MAT_AVERAGE_18,,107,107,,103,102,107,,102,,106,105,,102,105,,105,,104,,102,107,105,,,107,101,110,,107,105,102,100,,106,101,,107,103,106,102,,,,,,,,,,104,,Average scaled score in maths one year prior
1346,KS2_19,TELIG_17,,88,59,,50,21,96,,60,,119,31,,88,58,,56,29,90,,88,60,60,,,51,118,60,,59,62,58,115,,25,28,,88,90,30,42,,,,,,,,,,599728,,Number of eligible pupils 2017
1347,KS2_19,PTFSM6CLA1A_17,,50%,22%,,48%,57%,56%,,52%,,44%,58%,,53%,59%,,66%,72%,57%,,69%,53%,50%,,,65%,53%,50%,,49%,44%,55%,71%,,68%,50%,,51%,46%,47%,50%,,,,,,,,,,32%,,Percentage of key stage 2 disadvantaged pupils two years prior
1348,KS2_19,PTNOTFSM6CLA1A_17,,50%,78%,,52%,43%,44%,,48%,,56%,42%,,47%,41%,,34%,28%,43%,,31%,47%,50%,,,35%,47%,50%,,51%,56%,45%,29%,,32%,50%,,49%,54%,53%,50%,,,,,,,,,,68%,,Percentage of key stage 2 pupils who are not disadvantaged two years prior
1349,KS2_19,PTRWM_EXP_17,,56%,63%,,60%,38%,74%,,57%,,60%,48%,,43%,59%,,59%,52%,41%,,50%,78%,55%,,,41%,49%,83%,,64%,71%,41%,32%,,72%,46%,,48%,49%,80%,62%,,,,,,,,,,61%,,"Percentage of pupils reaching the expected standard in reading, writing and maths two years prior"
1350,KS2_19,PTRWM_HIGH_17,,7%,7%,,4%,0%,4%,,5%,,2%,0%,,2%,5%,,11%,0%,1%,,2%,22%,7%,,,2%,3%,15%,,8%,8%,0%,0%,,4%,4%,,7%,6%,3%,7%,,,,,,,,,,9%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing two years prior
1351,KS2_19,PTRWM_EXP_FSM6CLA1A_17,,50%,62%,,67%,50%,74%,,55%,,62%,39%,,47%,62%,,62%,52%,39%,,44%,75%,50%,,,33%,48%,77%,,62%,70%,38%,32%,,71%,50%,,51%,44%,71%,52%,,,,,,,,,,47%,,"Percentage of disadvantaged pupils reaching the expected standard in reading, writing and maths two years prior"
1352,KS2_19,PTRWM_HIGH_FSM6CLA1A_17,,7%,0%,,4%,0%,2%,,6%,,0%,0%,,0%,9%,,11%,0%,2%,,2%,25%,7%,,,3%,0%,20%,,10%,4%,0%,0%,,0%,7%,,7%,2%,0%,5%,,,,,,,,,,4%,,Percentage of disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing two years prior
1353,KS2_19,PTRWM_EXP_NOTFSM6CLA1A_17,,61%,63%,,54%,22%,74%,,59%,,58%,62%,,39%,54%,,53%,50%,44%,,63%,82%,60%,,,56%,51%,90%,,67%,71%,46%,31%,,75%,43%,,44%,53%,88%,71%,,,,,,,,,,67%,,"Percentage of non-disadvantaged pupils reaching the expected standard in reading, writing and maths two years prior"
1354,KS2_19,PTRWM_HIGH_NOTFSM6CLA1A_17,,7%,9%,,4%,0%,7%,,3%,,3%,0%,,5%,0%,,11%,0%,0%,,4%,18%,7%,,,0%,5%,10%,,7%,11%,0%,0%,,13%,0%,,7%,8%,6%,10%,,,,,,,,,,11%,,Percentage of non-disadvantaged pupils achieving a high score in reading and maths and working at greater depth in writing two years prior
1355,KS2_19,READPROG_17,,-0.8,-0.9,,0,-6.4,1.3,,-1.9,,-2.9,-0.7,,0.2,-0.4,,3.6,-3.8,-2.8,,-2.1,1.3,-0.1,,,-2.5,-3.4,2.8,,0.9,1,-2.3,-7,,0.8,-4.5,,-3.6,-2.3,-3,-3.5,,,,,,,,,,,,Reading progress measure two years prior
1356,KS2_19,READPROG_LOWER_17,,-2.1,-2.5,,-1.8,-9.2,0,,-3.5,,-4,-3.3,,-1.3,-2.1,,1.9,-6.1,-4.2,,-3.4,-0.3,-1.7,,,-4.4,-4.6,1.2,,-0.7,-0.6,-4.1,-8.3,,-1.9,-6.9,,-5,-3.6,-5.3,-5.4,,,,,,,,,,,,Reading progress measure - lower confidence limit two years prior
1357,KS2_19,READPROG_UPPER_17,,0.5,0.7,,1.8,-3.6,2.6,,-0.3,,-1.8,1.9,,1.7,1.3,,5.3,-1.5,-1.4,,-0.8,2.9,1.5,,,-0.6,-2.2,4.4,,2.5,2.6,-0.5,-5.7,,3.5,-2.1,,-2.2,-1,-0.7,-1.6,,,,,,,,,,,,Reading progress measure - upper confidence limit two years prior
1358,KS2_19,WRITPROG_17,,3.1,-1.4,,0.2,-2.9,1.1,,-0.4,,-2.6,0,,2.3,0.3,,5.1,0.1,-0.9,,0.8,1.4,1.6,,,0.6,-3.5,0,,0.2,1,-0.9,-2.9,,1.7,-1,,-3.4,0,-5.2,-1,,,,,,,,,,,,Writing progress measure two years prior
1359,KS2_19,WRITPROG_LOWER_17,,1.8,-3,,-1.5,-5.6,-0.2,,-2,,-3.7,-2.5,,0.8,-1.3,,3.4,-2.2,-2.2,,-0.5,-0.2,0,,,-1.3,-4.6,-1.5,,-1.4,-0.5,-2.7,-4.1,,-0.9,-3.4,,-4.7,-1.3,-7.4,-2.9,,,,,,,,,,,,Writing progress measure - lower confidence limit two years prior
1360,KS2_19,WRITPROG_UPPER_17,,4.4,0.2,,1.9,-0.2,2.4,,1.2,,-1.5,2.5,,3.8,1.9,,6.8,2.4,0.4,,2.1,3,3.2,,,2.5,-2.4,1.5,,1.8,2.5,0.9,-1.7,,4.3,1.4,,-2.1,1.3,-3,0.9,,,,,,,,,,,,Writing progress measure - upper confidence limit two years prior
1361,KS2_19,MATPROG_17,,3,0.5,,1.4,-4.2,3,,-0.6,,1.4,3.6,,0.6,3.2,,3.8,-4.1,-1.3,,0.2,5.4,1.3,,,4.2,-2.1,7.1,,3.3,1.8,-1.4,-5.2,,4.7,-3.8,,-1.2,-1.5,-2.2,0.4,,,,,,,,,,,,Maths progress measure two years prior
1362,KS2_19,MATPROG_LOWER_17,,1.8,-1,,-0.2,-6.7,1.8,,-2,,0.4,1.2,,-0.8,1.7,,2.3,-6.2,-2.5,,-1,4,-0.2,,,2.5,-3.2,5.6,,1.8,0.4,-3,-6.3,,2.2,-6,,-2.4,-2.7,-4.3,-1.3,,,,,,,,,,,,Maths progress measure - lower confidence limit two years prior
1363,KS2_19,MATPROG_UPPER_17,,4.2,2,,3,-1.7,4.2,,0.8,,2.4,6,,2,4.7,,5.3,-2,-0.1,,1.4,6.8,2.8,,,5.9,-1,8.6,,4.8,3.2,0.2,-4.1,,7.2,-1.6,,0,-0.3,-0.1,2.1,,,,,,,,,,,,Maths progress measure - upper confidence limit two years prior
1364,KS2_19,READ_AVERAGE_17,,101,104,,103,97,104,,101,,102,100,,100,101,,103,100,100,,99,105,102,,,96,100,109,,105,104,100,96,,103,101,,99,100,105,103,,,,,,,,,,104,,Average scaled score in reading  two years prior
1365,KS2_19,MAT_AVERAGE_17,,105,105,,104,100,106,,103,,106,105,,102,106,,104,100,102,,102,109,104,,,104,102,114,,108,105,101,98,,107,102,,101,101,105,105,,,,,,,,,,104,,Average scaled score in maths two years prior
1366,KS2_19,TELIG_3YR,,257,179,,161,76,314,,181,,300,93,,251,176,,169,85,271,,327,176,180,,,161,354,181,,178,185,189,410,,76,80,,249,264,90,130,,,,,,,,,,1864398,,Total number of pupils at the end of Key Stage 2 over the past three years
1367,KS2_19,PTRWM_EXP_3YR,,74%,69%,,68%,43%,76%,NA,55%,,63%,51%,,42%,66%,,69%,NA,52%,,56%,72%,66%,,,55%,50%,84%,,68%,73%,46%,37%,NA,59%,55%,,54%,52%,76%,62%,,,,,,,,,,63%,,"Percentage of pupils reaching the expected standard in reading, writing and maths  - 3 year total"
1368,KS2_19,PTRWM_HIGH_3YR,,13%,16%,,4%,3%,5%,NA,4%,,6%,11%,,4%,7%,,11%,NA,6%,,3%,17%,9%,,,2%,3%,14%,,11%,8%,4%,1%,NA,8%,3%,,10%,9%,14%,8%,,,,,,,,,,10%,,Percentage of pupils achieving a high score in reading and maths and working at greater depth in writing  - 3 year total
1369,KS2_19,READ_AVERAGE_3YR,,104,105,,104,100,105,NA,102,,103,101,,100,103,,104,NA,101,,101,105,104,,,100,101,110,,104,104,101,98,NA,102,102,,101,103,105,104,,,,,,,,,,105,,Average scaled score in reading - 3 year average
1370,KS2_19,MAT_AVERAGE_3YR,,106,107,,105,101,107,NA,103,,106,104,,102,106,,104,NA,103,,103,107,106,,,105,102,112,,107,105,102,99,NA,105,101,,104,102,106,104,,,,,,,,,,105,,Average scaled score in maths - 3 year average
1371,KS2_19,READPROG_UNADJUSTED,,1,0,,0.9,-1.1,2.5,1.3,0.1,,-3.2,-1.8,,0.3,-0.2,,1.8,-4.8,-1.4,,-1.3,1.8,1.1,,,1.7,-0.9,5.5,,-2.5,2.4,-0.7,-3.9,-1,2.4,-0.6,,-1.9,2.3,-0.9,0.5,,,,,,,,,,0,,Unadjusted reading progress measure
1372,KS2_19,WRITPROG_UNADJUSTED,,2.8,0.4,,-1.1,0.4,1.2,1.7,0.4,,-1.2,0.6,,2.3,0.7,,2.3,-2,-0.5,,-0.4,2.5,0.5,,,0.5,0,-1,,1.6,2.4,-0.4,-2.7,-3,3.5,2.3,,-0.3,2.2,-2,0.4,,,,,,,,,,0,,Unadjusted writing progress measure
1373,KS2_19,MATPROG_UNADJUSTED,,3.3,1.4,,1.5,0.3,2.6,-0.1,0.8,,-2.1,-2.2,,1,2.4,,0.3,-1.9,0.3,,1.5,2.5,4.6,,,4.9,-0.1,6.1,,0.9,2.2,-1,-4.5,0.6,4.2,-2.7,,0.4,0,-0.8,0.1,,,,,,,,,,0,,Unadjusted maths progress measure
1374,KS2_19,READPROG_DESCR_17,,3,3,,3,5,3,,4,,4,3,,3,3,,1,5,4,,4,3,3,,,4,5,2,,3,3,4,5,,3,5,,5,4,4,5,,,,,,,,,,,,Reading progress measure 'description' - two years prior
1375,KS2_19,WRITPROG_DESCR_17,,1,3,,3,5,3,,3,,4,3,,2,3,,1,3,3,,3,3,3,,,3,5,3,,3,3,3,5,,3,3,,5,3,5,3,,,,,,,,,,,,Reading progress measure 'description' - two years prior
1376,KS2_19,MATPROG_DESCR_17,,2,3,,3,5,2,,3,,2,1,,3,2,,1,5,4,,3,1,3,,,1,4,1,,2,2,3,5,,1,5,,3,4,4,3,,,,,,,,,,,,Writing progress measure 'description' - two years prior
1377,KS2_19,READPROG_DESCR_18,,2,4,,3,5,2,,4,,3,3,,4,3,,1,,3,,3,3,3,,,3,3,1,,3,3,3,5,,1,3,,3,3,4,3,,,,,,,,,,,,Maths progress measure 'description' - two years prior
1378,KS2_19,WRITPROG_DESCR_18,,1,3,,3,5,3,,4,,3,3,,2,3,,1,1,3,,3,3,3,,,3,3,3,,3,3,4,4,,1,3,,2,3,5,3,,,,,,,,,,,,Reading progress measure 'description' - one year prior
1379,KS2_19,MATPROG_DESCR_18,,1,3,,3,4,1,,4,,3,1,,3,2,,1,,3,,2,1,3,,,1,3,1,,2,2,3,5,,1,4,,1,3,3,3,,,,,,,,,,,,Writing progress measure 'description' - one year prior
1380,KS2_19,READPROG_DESCR,,3,3,,3,3,2,2,3,,5,3,,3,3,,2,5,4,,4,2,3,,,3,3,1,,4,2,3,5,3,3,3,,4,2,3,3,,,,,,,,,,,,Maths progress measure 'description' - one year prior
1381,KS2_19,WRITPROG_DESCR,,1,3,,3,3,3,2,3,,3,3,,2,3,,2,3,3,,3,1,3,,,3,3,3,,2,2,3,5,5,1,3,,3,2,3,3,,,,,,,,,,,,Writing progress measure 'description'
1382,KS2_19,MATPROG_DESCR,,1,2,,2,3,2,3,3,,4,3,,3,2,,3,3,3,,2,2,1,,,1,3,1,,3,2,3,5,3,1,4,,3,3,3,3,,,,,,,,,,,,Maths progress measure 'description'
1383,KS4_19,YEAR,,,,,,,,,,2019,,,,,,2019,,,,,,,,,,,,,,,,,,,,,2019,,,,,2019,2019,2019,2019,2019,2019,2019,2019,2019,,2019,
1384,KS4_19,RECTYPE,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,,7,Record type (1=mainstream school; 2=special school; 4=local authority; 5=National (all schools); 7=National (maintained schools))
1385,KS4_19,LEA,,,,,,,,,,330,,,,,,330,,,,,,,,,,,,,,,,,,,,,330,,,,,330,330,330,330,330,330,330,330,330,,,Local authority code (see separate list of local authorities and their codes)
1386,KS4_19,ESTAB,,,,,,,,,,6003,,,,,,6115,,,,,,,,,,,,,,,,,,,,,6097,,,,,5404,6078,6106,4606,4227,6111,4323,4032,6130,,,Establishment number
1387,KS4_19,URN,,,,,,,,,,103567,,,,,,135208,,,,,,,,,,,,,,,,,,,,,131687,,,,,137047,103586,134571,103531,139841,134908,138059,145878,136037,,,School Unique Reference Number
1388,KS4_19,SCHNAME,,,,,,,,,,Edgbaston High School for Girls,,,,,,St Paul's,,,,,,,,,,,,,,,,,,,,,Hamd House School,,,,,King Edward VI Handsworth School,Darul Uloom Islamic High School,Jamia Islamia Birmingham,St Paul's School for Girls,Broadway Academy,Elmhurst Ballet School,Rockwood Academy,"Eden Boys' Leadership Academy, Birmingham East",Al-Noor Girls Secondary School,,,School name
1389,KS4_19,SCHNAME_AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,School now known as (used if the school has converted to an academy on or after 12 Sept 2018)
1390,KS4_19,ADDRESS1,,,,,,,,,,Westbourne Road,,,,,,73 Hertford Street,,,,,,,,,,,,,,,,,,,,,The Custard House,,,,,Rose Hill Road,521-527 Coventry Road,Islamic College,Vernon Road,The Broadway,249 Bristol Road,Naseby Road,Whitehead Road,21 Shakespeare Street,,,School address (1)
1391,KS4_19,ADDRESS2,,,,,,,,,,Edgbaston,,,,,,,,,,,,,,,,,,,,,,,,,,,29 - 43 Blake Lane,,,,,,,Fallows Road,Edgbaston,Perry Barr,,Alum Rock,Aston,Sparkhill,,,School address (2)
1392,KS4_19,ADDRESS3,,,,,,,,,,,,,,,,Balsall Heath,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sparkbrook,,,Edgbaston,,,,,,School address (3)
1393,KS4_19,TOWN,,,,,,,,,,Birmingham,,,,,,Birmingham,,,,,,,,,,,,,,,,,,,,,Birmingham,,,,,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,Birmingham,,,School town
1394,KS4_19,PCODE,,,,,,,,,,B15 3TS,,,,,,B12 8NJ,,,,,,,,,,,,,,,,,,,,,B9 5QT,,,,,B21 9AR,B10 0LL,B11 1PL,B16 9SL,B20 3DP,B5 7UH,B8 3HG,B6 6EL,B11 4RU,,,School postcode
1395,KS4_19,TELNUM,,,,,,,,,,01214545831,,,,,,01214644376,,,,,,,,,,,,,,,,,,,,,01217713030,,,,,01215542342,01216886507,01217726400,01214540895,01215664334,01214726655,01215666500,01216577200,01217734729,,,School telephone number
1396,KS4_19,PCON_CODE,,,,,,,,,,E14000560,,,,,,E14000562,,,,,,,,,,,,,,,,,,,,,E14000563,,,,,E14000566,E14000568,E14000562,E14000560,E14000564,E14000560,E14000563,E14000564,E14000562,,,
1397,KS4_19,PCON_NAME,,,,,,,,,,"Birmingham, Edgbaston",,,,,,"Birmingham, Hall Green",,,,,,,,,,,,,,,,,,,,,"Birmingham, Hodge Hill",,,,,"Birmingham, Perry Barr","Birmingham, Yardley","Birmingham, Hall Green","Birmingham, Edgbaston","Birmingham, Ladywood","Birmingham, Edgbaston","Birmingham, Hodge Hill","Birmingham, Ladywood","Birmingham, Hall Green",,,
1398,KS4_19,CONTFLAG,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,,Contingency flag - school results 'significantly affected'. This field is zero for all schools.
1399,KS4_19,ICLOSE,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,,Closed school flag (0=open; 1=closed)
1400,KS4_19,NFTYPE,,,,,,,,,,IND,,,,,,INDSPEC,,,,,,,,,,,,,,,,,,,,,IND,,,,,ACC,IND,IND,VA,ACC,IND,ACC,F,IND,,,School type (see separate list of abbreviations used in the tables)
1401,KS4_19,RELDENOM,,,,,,,,,,None,,,,,,None,,,,,,,,,,,,,,,,,,,,,Islam,,,,,Christian,None,None,Roman Catholic,Does not apply,None,Does not apply,Muslim,None,,,School religious character
1402,KS4_19,ADMPOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEL,,,NSE,NSE,,NSE,NR,,,,School admissions policy (self-declared by schools on Edubase)
1403,KS4_19,ADMPOL_PT,,,,,,,,,,NA,,,,,,NA,,,,,,,,,,,,,,,,,,,,,NA,,,,,SEL,NA,NA,OTHER NON SEL,OTHER NON SEL,NA,OTHER NON SEL,OTHER NON SEL,NA,,,
1404,KS4_19,EGENDER,,,,,,,,,,GIRLS,,,,,,MIXED,,,,,,,,,,,,,,,,,,,,,MIXED,,,,,GIRLS,BOYS,BOYS,GIRLS,MIXED,MIXED,MIXED,BOYS,GIRLS,,,School gender of entry
1405,KS4_19,FEEDER,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,,Indicates whether school is a feeder school for sixth form centre/consortia (0=No; 1=Yes)
1406,KS4_19,TABKS2,,,,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,0,0,0,0,0,0,0,,,Indicates whether school is published in the primary school (key stage 2) performance tables (0=No; 1=Yes)
1407,KS4_19,TAB1618,,,,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,,,,,,0,,,,,1,1,1,1,1,1,0,0,0,,,Indicates whether school is published in the school and college (16-18) performance tables (0=No; 1=Yes)
1408,KS4_19,AGERANGE,,,,,,,,,,2 to 19,,,,,,7 to 19,,,,,,,,,,,,,,,,,,,,,5 to 16,,,,,11 to 18,11 to 17,11 to 19,11 to 18,11 to 18,11 to 19,11 to 16,11 to 18,11 to 16,,,Age range
1409,KS4_19,CONFEXAM,,,,,,,,,,,,,,,,R,,,,,,,,,,,,,,,,,,,,,,,,,,R,,,,,,R,R,,,,Indicates whether the school has checked its results (R=No; blank=Yes)
1410,KS4_19,TOTPUPS,,,,,,,,,,895,,,,,,27,,,,,,,,,,,,,,,,,,,,,267,,,,,1086,128,140,981,1210,186,697,182,32,,3366207,Number of pupils on roll (all ages)
1411,KS4_19,NUMBOYS,,,,,,,,,,NA,,,,,,27,,,,,,,,,,,,,,,,,,,,,129,,,,,NA,128,140,NA,558,69,352,182,NA,,1710775,Total boys on roll (including part-time pupils)
1412,KS4_19,NUMGIRLS,,,,,,,,,,895,,,,,,0,,,,,,,,,,,,,,,,,,,,,138,,,,,1086,NA,NA,981,652,117,345,0,32,,1655432,Total girls on roll (including part-time pupils)
1413,KS4_19,TPUP,,,,,,,,,,65,,,,,,9,,,,,,,,,,,,,,,,,,,,,21,,,,,162,23,19,159,204,23,111,,10,,542621,Number of pupils at the end of key stage 4
1414,KS4_19,BPUP,,,,,,,,,,NA,,,,,,9,,,,,,,,,,,,,,,,,,,,,14,,,,,NA,23,19,NA,102,6,54,,NA,,276670,Number of boys at the end of key stage 4
1415,KS4_19,PBPUP,,,,,,,,,,NA,,,,,,100%,,,,,,,,,,,,,,,,,,,,,67%,,,,,NA,100%,100%,NA,50%,26%,49%,,NA,,51%,Percentage of pupils at the end of key stage 4 who are boys
1416,KS4_19,GPUP,,,,,,,,,,65,,,,,,0,,,,,,,,,,,,,,,,,,,,,7,,,,,162,NA,NA,159,102,17,57,,10,,265951,Number of girls at the end of key stage 4
