No,Namespace,Variable,Al-Ameen Primary School - 130244,Rookery School - 137168,St Matthew's CofE Primary School - 104000,Moseley Church of England Primary School - 103398,Brookvale Primary School - 139465,Thornton Primary School - 103268,Cherry Orchard Primary School - 103178,Ward End Primary School - 103217,Uffculme School - 103605,St Philip's Catholic Primary School - 141929,Redhill Primary School - 103247,Victoria Park Primary - 138033,"St James Church of England Primary School, Handsworth - 103401",Erdington Hall Primary School - 138194,St Bernadette's Catholic Primary School - 103460,Shireland Technology Primary School - 147191,St Mary and St John Junior and Infant School - 146268,Harborne Primary School - 132261,St Mary and St John Junior and Infant School - 103442,"The Olive School, Birmingham - 142888",Springfield Primary Academy - 144722,Springfield Primary School - 134083,St Augustine's Catholic Primary School - 103431,Wattville Primary School - 132201,Al-Furqan Primary School - 131465,The Pines Special School - 103622,St Mary's Catholic Primary School - 103438,Marsh Hill Primary School - 103233,Kings Heath Primary School - 134098,St Cuthbert's RC Junior and Infant (NC) School - 103470,Moor Green Primary Academy - 139000,Washwood Heath Academy - 139888,Tiverton Academy - 139439,St Edward's Catholic Primary School - 103447,Bearwood Primary School - 103933,Oasis Academy Hobmoor - 139214,"Eden Girls'  Leadership Academy, Birmingham - 147201",Flexible Learning School - 135561,Queensbridge School - 103497,Fox Hollies School and Performing Arts College - 103625,Shireland Collegiate Academy - 135170,Ward End Community College - 135238,Yardleys School - 139994,Stockland Green School - 138137,Lordswood Boys' School - 145120,Lordswood Girls' School and Sixth Form Centre - 136592,Moseley School and Sixth Form - 103519,Erdington Academy - 143413,Queensbury School - 146858,Queensbury School - 103616,National state-funded primary,National state-funded secondary and 16 to 18,Description
1187,KS2_19,READPROG_EAL,,-1.1,2.8,SUPP,0.7,-1.2,-0.8,-0.3,SUPP,1.8,-2.4,1.4,2.3,-0.5,1.9,,,2.2,0.5,,,-0.9,-0.3,-0.6,4.2,SUPP,2.3,0,1.6,0.8,2.8,,1.5,1.6,2.1,0.9,,,,,,,,,,,,,,,0.8,,Reading progress measure for EAL pupils
1188,KS2_19,READPROG_EAL_LOWER,,-3.1,-0.7,SUPP,-3.9,-2.4,-3.9,-1.6,SUPP,-0.9,-5.1,-0.8,0.1,-2.8,-0.8,,,-0.3,-2.7,,,-2.3,-3,-2.4,2.7,SUPP,-0.5,-3.1,-0.5,-3.1,-0.2,,-2.8,-1,0,-1,,,,,,,,,,,,,,,0,,Reading progress measure for EAL pupils - lower confidence limit
1189,KS2_19,READPROG_EAL_UPPER,,0.9,6.3,SUPP,5.2,-0.1,2.3,1,SUPP,4.5,0.2,3.5,4.5,1.8,4.6,,,4.7,3.7,,,0.4,2.4,1.1,5.6,SUPP,5.1,3.1,3.8,4.6,5.8,,5.8,4.2,4.1,2.9,,,,,,,,,,,,,,,0,,Reading progress measure for EAL pupils - upper confidence limit
1190,KS2_19,READPROG_MOBN,,-1.2,1.1,3.8,0.6,-1.3,-0.4,-0.6,-3.9,3.6,-2.8,1.6,1.9,0.7,2.1,,,0.6,-1.5,,,-0.7,0.1,-1,4.3,-4.2,1.4,-2,1.9,0.1,3.3,,0.4,2.3,1.1,1,,,,,,,,,,,,,,,0.1,,Reading progress measure for non-mobile pupils
1191,KS2_19,READPROG_MOBN_LOWER,,-2.8,-1.2,1.5,-1.5,-2.3,-2,-1.8,-7,1.4,-5.2,0,0.3,-0.9,0.7,,,-0.7,-3.2,,,-2,-2.2,-2.6,3,-7,-0.2,-3.6,0.6,-2.2,1.4,,-2.1,0.7,-0.5,-0.7,,,,,,,,,,,,,,,0,,Reading progress measure for non-mobile pupils - lower confidence limit
1192,KS2_19,READPROG_MOBN_UPPER,,0.4,3.3,6.1,2.8,-0.3,1.2,0.6,-0.8,5.9,-0.5,3.3,3.5,2.4,3.4,,,1.9,0.3,,,0.6,2.5,0.6,5.6,-1.3,3.1,-0.4,3.2,2.3,5.3,,2.9,3.9,2.7,2.7,,,,,,,,,,,,,,,0,,Reading progress measure for non-mobile pupils - upper confidence limit
1193,KS2_19,WRITPROG_B,,0.9,1.8,0.4,-1.9,-1.3,-3,-3,-5.2,0.7,-0.5,-1.5,0,0.8,0.4,,,-0.8,-2.1,,,1.7,-2.4,-3.8,2.2,-6.6,-0.5,-5,-3.2,-2.5,1,,-2,0.4,0,1.9,,,,,,,,,,,,,,,-0.7,,Writing progress measure for boys
1194,KS2_19,WRITPROG_B_LOWER,,-1.3,-0.9,-2.7,-5.1,-2.5,-5,-4.4,-8.2,-2.4,-3.5,-3.8,-2,-1.4,-1.3,,,-2.4,-4.6,,,0,-5.2,-5.7,0.5,-9.4,-2.7,-7,-5,-5.6,-1.8,,-5.5,-1.7,-2,-0.5,,,,,,,,,,,,,,,0,,Writing progress measure for boys - lower confidence limit
1195,KS2_19,WRITPROG_B_UPPER,,3.1,4.6,3.5,1.3,-0.1,-1.1,-1.6,-2.2,3.8,2.6,0.8,2,2.9,2.1,,,0.8,0.5,,,3.4,0.4,-1.9,3.9,-3.8,1.8,-3,-1.4,0.6,3.8,,1.5,2.6,2,4.2,,,,,,,,,,,,,,,0,,Writing progress measure for boys - upper confidence limit
1196,KS2_19,WRITPROG_G,,1.1,4.1,0.7,-0.6,0.3,-0.3,0.1,SUPP,3.8,-0.8,2,1.9,1,0,,,1.7,0,,,-0.8,0.6,-3.3,3.7,SUPP,1.5,-0.2,0.5,-1.8,3.4,,2,-0.6,1.4,0.7,,,,,,,,,,,,,,,0.8,,Wwriting progress measure for girls
1197,KS2_19,WRITPROG_G_LOWER,,-0.9,1,-1.9,-3.1,-1.1,-2.3,-1.5,SUPP,1.1,-3.8,0,-0.3,-1.2,-1.7,,,-0.1,-2.1,,,-2.5,-2.8,-5.4,2,SUPP,-0.5,-2.2,-1,-4.6,1.2,,-0.9,-2.5,-0.8,-1.3,,,,,,,,,,,,,,,0,,Writing progress measure for girls - lower confidence limit
1198,KS2_19,WRITPROG_G_UPPER,,3.1,7.2,3.3,2,1.7,1.8,1.6,SUPP,6.5,2.1,4,4,3.1,1.7,,,3.6,2.1,,,1,4,-1.1,5.4,SUPP,3.5,1.9,2,1,5.7,,4.9,1.4,3.6,2.6,,,,,,,,,,,,,,,0,,Writing progress measure for girls - upper confidence limit
1199,KS2_19,WRITPROG_L,,1.7,1.8,NA,NA,-4,SUPP,SUPP,-3.7,SUPP,SUPP,SUPP,2.4,2.5,3.1,,,-7.4,1.9,,,4,SUPP,-2.2,0.4,-3.9,SUPP,SUPP,SUPP,NA,SUPP,,SUPP,SUPP,6.9,SUPP,,,,,,,,,,,,,,,0,,Writing progress measure for pupils with low prior attainment
1200,KS2_19,WRITPROG_L_LOWER,,-2.9,-2.7,NA,NA,-8.5,SUPP,SUPP,-6.5,SUPP,SUPP,SUPP,-2.2,-1.4,-0.5,,,-11.6,-2.3,,,1.4,SUPP,-6.7,-3.3,-6.6,SUPP,SUPP,SUPP,NA,SUPP,,SUPP,SUPP,2.4,SUPP,,,,,,,,,,,,,,,0,,Writing progress measure for pupils with low prior attainment - lower confidence limit
1201,KS2_19,WRITPROG_L_UPPER,,6.2,6.4,NA,NA,0.6,SUPP,SUPP,-1,SUPP,SUPP,SUPP,7,6.5,6.6,,,-3.2,6.1,,,6.6,SUPP,2.4,4.1,-1.2,SUPP,SUPP,SUPP,NA,SUPP,,SUPP,SUPP,11.5,SUPP,,,,,,,,,,,,,,,0,,Writing progress measure for pupils with low prior attainment - upper confidence limit
1202,KS2_19,WRITPROG_M,,0.9,2.8,0.9,-1.3,-0.9,-1.2,-2.4,SUPP,2.5,0.1,0.3,0.4,1,1,,,0.7,-0.1,,,0.8,-1.1,-3.5,3,SUPP,0.7,-1.8,-1.9,-1.5,2.4,,-0.5,-0.4,0.6,0.2,,,,,,,,,,,,,,,0,,Writing progress measure for pupils with medium prior attainment
1203,KS2_19,WRITPROG_M_LOWER,,-1.1,0.1,-2.2,-3.9,-2.1,-3,-3.8,SUPP,-0.2,-3.1,-1.6,-1.5,-0.9,-0.6,,,-1.2,-2.1,,,-1,-4,-5.2,1.6,SUPP,-1.4,-3.7,-3.5,-4.1,0.3,,-3.1,-2.3,-1.1,-1.7,,,,,,,,,,,,,,,0,,Writing progress measure for pupils with medium prior attainment - lower confidence limit
1204,KS2_19,WRITPROG_M_UPPER,,2.9,5.6,4,1.2,0.2,0.6,-1,SUPP,5.2,3.3,2.1,2.4,3,2.5,,,2.6,2,,,2.7,1.8,-1.7,4.5,SUPP,2.7,0.1,-0.4,1,4.6,,2.2,1.5,2.4,2.2,,,,,,,,,,,,,,,0,,Writing progress measure for pupils with medium prior attainment - upper confidence limit
1205,KS2_19,WRITPROG_H,,0.9,3.8,0.4,-0.7,0.5,-2.6,-0.1,NA,3.7,-1.5,2.6,1.2,-0.5,-2.9,,,1.2,-5.1,,,-2,-2.4,-4.4,4,NA,0.7,-4,0,-3.2,3.8,,SUPP,0.7,-4.2,2.1,,,,,,,,,,,,,,,0,,Writing progress measure for pupils with high prior attainment
1206,KS2_19,WRITPROG_H_LOWER,,-1.5,-0.4,-2.2,-3.9,-1.2,-5.1,-1.7,NA,-0.3,-4.9,-0.2,-1.4,-3.4,-5.2,,,-0.5,-8.7,,,-4.1,-6.1,-7.4,1.2,NA,-1.6,-6.5,-1.8,-6.7,0.5,,SUPP,-1.6,-8.1,-0.3,,,,,,,,,,,,,,,0,,Writing progress measure for pupils with high prior attainment - lower confidence limit
1207,KS2_19,WRITPROG_H_UPPER,,3.4,8,3,2.5,2.1,-0.1,1.5,NA,7.6,1.9,5.4,3.8,2.5,-0.6,,,2.9,-1.6,,,0,1.3,-1.4,6.8,NA,3,-1.5,1.8,0.3,7,,SUPP,3,-0.2,4.5,,,,,,,,,,,,,,,0,,Writing progress measure for pupils with high prior attainment - upper confidence limit
1208,KS2_19,WRITPROG_FSM6CLA1A,,1.4,3.6,SUPP,-1.4,-1.5,-1.3,-1.9,-5.8,-0.5,0.6,0.5,0.9,1.1,0.7,,,-6,-1.9,,,0.3,-1.8,-3.5,1.5,-5.1,2,-3.6,-3.5,-3.8,1,,-1,-3.6,1.9,0.6,,,,,,,,,,,,,,,-0.5,,Writing progress measure for disadvantaged pupils
1209,KS2_19,WRITPROG_FSM6CLA1A_LOWER,,-0.7,0.8,SUPP,-5.1,-3,-3.9,-3.5,-9.4,-3.4,-2.4,-1.7,-1.2,-0.7,-1,,,-9.9,-4,,,-1.8,-5.7,-5.4,-0.3,-8.2,-1.7,-5.5,-5.7,-6.9,-1.3,,-3.9,-6.2,-0.3,-1.3,,,,,,,,,,,,,,,0,,Writing progress measure for disadvantaged pupils - lower confidence limit
1210,KS2_19,WRITPROG_FSM6CLA1A_UPPER,,3.5,6.4,SUPP,2.3,0,1.4,-0.3,-2.3,2.4,3.6,2.7,3.1,2.9,2.5,,,-2,0.2,,,2.3,2.2,-1.6,3.3,-2,5.7,-1.7,-1.2,-0.7,3.3,,1.9,-1,4.1,2.4,,,,,,,,,,,,,,,0,,Writing progress measure for disadvantaged pupils - upper confidence limit
1211,KS2_19,WRITPROG_NOTFSM6CLA1A,,0.7,1.9,SUPP,-1,0,-1.9,-1.5,-2.9,5.4,-2,0.5,0.8,0.2,-0.3,,,0.9,0.9,,,0.6,-1,-3.6,4.1,-6.1,0.4,-1.3,-0.1,-0.7,4.5,,2.5,1.5,-0.4,2.4,,,,,,,,,,,,,,,0.3,,Writing progress measure for non-disadvantaged pupils
1212,KS2_19,WRITPROG_NOTFSM6CLA1A_LOWER,,-1.4,-1.2,SUPP,-3.3,-1.2,-3.6,-2.9,-7.1,2.5,-5.1,-1.6,-1.2,-2.6,-1.9,,,-0.3,-1.8,,,-0.9,-3.5,-5.9,2.5,-10.6,-1.3,-3.5,-1.5,-3.5,1.8,,-1.1,-0.2,-2.4,-0.3,,,,,,,,,,,,,,,0,,Writing progress measure for non-disadvantaged pupils - lower confidence limit
1213,KS2_19,WRITPROG_NOTFSM6CLA1A_UPPER,,2.8,5,SUPP,1.4,1.2,-0.3,-0.2,1.3,8.3,1.1,2.6,2.9,3,1.3,,,2.2,3.5,,,2.1,1.6,-1.4,5.7,-1.5,2,0.9,1.2,2,7.3,,6,3.3,1.6,5,,,,,,,,,,,,,,,0,,Writing progress measure for non-disadvantaged pupils - upper confidence limit
1214,KS2_19,DIFFN_WRITPROG,,1.1,3.3,SUPP,-1.7,-1.8,-1.6,-2.2,-6.1,-0.8,0.3,0.2,0.6,0.8,0.4,,,-6.3,-2.2,,,0,-2.1,-3.8,1.2,-5.4,1.7,-3.9,-3.8,-4.1,0.7,,-1.3,-3.9,1.6,0.3,,,,,,,,,,,,,,,0,,Difference between writing progress measure for disadvantaged pupils in school and other pupils nationally
1215,KS2_19,WRITPROG_EAL,,1.8,4.5,SUPP,-0.1,-0.5,-3.4,-1,SUPP,2.5,0.4,0.8,0.9,1.1,0.4,,,1.4,1,,,0.6,-0.5,-3.3,2.9,SUPP,1.7,-2.5,-0.7,-2.7,3.6,,0.3,0.8,0.6,1.1,,,,,,,,,,,,,,,1.2,,Writing progress measure for EAL pupils
1216,KS2_19,WRITPROG_EAL_LOWER,,0,1.3,SUPP,-4.4,-1.6,-6.3,-2.2,SUPP,0,-2.1,-1.1,-1.2,-1.1,-2.1,,,-1,-2,,,-0.6,-3,-4.9,1.6,SUPP,-0.8,-5.4,-2.7,-6.3,0.8,,-3.7,-1.7,-1.2,-0.7,,,,,,,,,,,,,,,0,,Writing progress measure for EAL pupils - lower confidence limit
1217,KS2_19,WRITPROG_EAL_UPPER,,3.7,7.7,SUPP,4.1,0.6,-0.5,0.2,SUPP,5,2.8,2.8,2.9,3.2,2.9,,,3.7,4,,,1.9,2,-1.7,4.2,SUPP,4.3,0.4,1.2,0.8,6.4,,4.2,3.2,2.5,2.9,,,,,,,,,,,,,,,0,,Writing progress measure for EAL pupils - upper confidence limit
1218,KS2_19,WRITPROG_MOBN,,1.1,2.9,0.4,-1.1,-0.6,-1.8,-1.8,-3.7,3,-0.7,0.5,0.9,1.1,0.1,,,0.4,-0.8,,,0.6,-1.2,-3.7,3,-4.8,0.7,-2.6,-0.7,-2.1,2.8,,0.3,0.1,0.7,1.1,,,,,,,,,,,,,,,0.1,,Writing progress measure for non-mobile pupils
1219,KS2_19,WRITPROG_MOBN_LOWER,,-0.4,0.8,-1.7,-3.1,-1.5,-3.2,-2.9,-6.6,0.9,-2.8,-1,-0.6,-0.4,-1.1,,,-0.8,-2.5,,,-0.6,-3.3,-5.1,1.8,-7.4,-0.9,-4,-1.9,-4.2,0.9,,-2,-1.4,-0.8,-0.5,,,,,,,,,,,,,,,0,,Writing progress measure for non-mobile pupils - lower confidence limit
1220,KS2_19,WRITPROG_MOBN_UPPER,,2.6,4.9,2.5,0.9,0.3,-0.4,-0.7,-0.9,5,1.5,2,2.4,2.6,1.4,,,1.6,0.8,,,1.9,0.9,-2.2,4.2,-2.2,2.2,-1.1,0.5,0,4.6,,2.6,1.6,2.2,2.6,,,,,,,,,,,,,,,0,,Writing progress measure for non-mobile pupils - upper confidence limit
1221,KS2_19,MATPROG_B,,1.4,3.4,3.1,2.8,-1.4,2.3,2.7,-3.9,0.8,-0.7,0.8,2.6,1.8,4.2,,,0.7,0.8,,,2,1,-1.2,4.5,-7.5,1.6,1.5,0.5,2.5,2.5,,1.5,2.2,3.2,4.2,,,,,,,,,,,,,,,0.7,,Maths progress measure for boys
1222,KS2_19,MATPROG_B_LOWER,,-0.7,0.7,0.1,-0.2,-2.6,0.5,1.4,-6.7,-2.2,-3.6,-1.4,0.6,-0.3,2.6,,,-0.8,-1.6,,,0.5,-1.6,-3,2.9,-10.1,-0.5,-0.4,-1.2,-0.4,-0.2,,-1.8,0.1,1.3,2,,,,,,,,,,,,,,,0,,Maths progress measure for boys - lower confidence limit
1223,KS2_19,MATPROG_B_UPPER,,3.5,6,6,5.9,-0.3,4.2,4,-1,3.7,2.3,3,4.5,3.8,5.8,,,2.3,3.3,,,3.6,3.7,0.7,6.1,-4.9,3.8,3.4,2.2,5.5,5.1,,4.8,4.3,5.1,6.5,,,,,,,,,,,,,,,0,,Maths progress measure for boys - upper confidence limit
1224,KS2_19,MATPROG_G,,-2.3,4.7,0.1,-0.1,-2.6,1.8,0.3,SUPP,5.1,-2.4,2,1.4,-1.7,3.1,,,-0.8,-1.6,,,-0.2,0.1,-3.2,3.4,SUPP,0.2,-0.4,-0.7,-0.5,0.4,,2.3,-0.4,1.4,1,,,,,,,,,,,,,,,-0.7,,Maths progress measure for girls
1225,KS2_19,MATPROG_G_LOWER,,-4.2,1.6,-2.3,-2.6,-3.9,-0.2,-1.2,SUPP,2.6,-5.3,0.1,-0.6,-3.7,1.5,,,-2.5,-3.6,,,-1.9,-3,-5.2,1.8,SUPP,-1.6,-2.4,-2.1,-3.1,-1.8,,-0.4,-2.3,-0.7,-0.8,,,,,,,,,,,,,,,0,,Maths progress measure for girls - lower confidence limit
1226,KS2_19,MATPROG_G_UPPER,,-0.4,7.7,2.6,2.3,-1.2,3.8,1.8,SUPP,7.7,0.4,3.9,3.4,0.3,4.6,,,1,0.4,,,1.4,3.3,-1.1,5,SUPP,2.1,1.5,0.8,2.2,2.5,,5,1.4,3.5,2.9,,,,,,,,,,,,,,,0,,Maths progress measure for girls - upper confidence limit
1227,KS2_19,MATPROG_L,,1.7,2.7,NA,NA,-4.4,SUPP,SUPP,-2.4,SUPP,SUPP,SUPP,6.2,-2.2,5.1,,,0.4,8.2,,,3.4,SUPP,0.2,-2.5,-5.3,SUPP,SUPP,SUPP,NA,SUPP,,SUPP,SUPP,4.7,SUPP,,,,,,,,,,,,,,,0,,Maths progress measure for pupils with low prior attainment
1228,KS2_19,MATPROG_L_LOWER,,-2.6,-1.6,NA,NA,-8.7,SUPP,SUPP,-5.1,SUPP,SUPP,SUPP,1.9,-5.9,1.8,,,-3.6,4.2,,,0.9,SUPP,-4.1,-6,-7.9,SUPP,SUPP,SUPP,NA,SUPP,,SUPP,SUPP,0.4,SUPP,,,,,,,,,,,,,,,0,,Maths progress measure for pupils with low prior attainment - lower confidence limit
1229,KS2_19,MATPROG_L_UPPER,,6,7,NA,NA,-0.1,SUPP,SUPP,0.2,SUPP,SUPP,SUPP,10.5,1.6,8.5,,,4.4,12.2,,,5.9,SUPP,4.5,1,-2.8,SUPP,SUPP,SUPP,NA,SUPP,,SUPP,SUPP,9,SUPP,,,,,,,,,,,,,,,0,,Maths progress measure for pupils with low prior attainment - upper confidence limit
1230,KS2_19,MATPROG_M,,-0.4,4.6,2.1,0.7,-2,2.3,2.2,SUPP,3.6,-1.4,1.6,2.2,0.5,3.4,,,-1.3,-2.4,,,0.2,0.3,-2,4.5,SUPP,1,0.7,-0.8,0.5,1.7,,1.8,0.9,2,1.6,,,,,,,,,,,,,,,0,,Maths progress measure for pupils with medium prior attainment
1231,KS2_19,MATPROG_M_LOWER,,-2.3,1.8,-0.8,-1.7,-3.1,0.5,0.9,SUPP,1,-4.4,-0.1,0.3,-1.4,1.9,,,-3.1,-4.4,,,-1.6,-2.5,-3.7,3.1,SUPP,-0.9,-1.1,-2.3,-1.9,-0.3,,-0.6,-0.9,0.4,-0.2,,,,,,,,,,,,,,,0,,Maths progress measure for pupils with medium prior attainment - lower confidence limit
1232,KS2_19,MATPROG_M_UPPER,,1.5,7.3,5.1,3.2,-0.9,4,3.5,SUPP,6.1,1.7,3.4,4,2.3,4.8,,,0.6,-0.5,,,1.9,3,-0.3,5.8,SUPP,3,2.4,0.6,3,3.7,,4.3,2.7,3.6,3.5,,,,,,,,,,,,,,,0,,Maths progress measure for pupils with medium prior attainment - upper confidence limit
1233,KS2_19,MATPROG_H,,-1.6,3.7,0.8,1.4,-1.5,1.1,1.2,NA,3.2,-1.2,1.9,0.4,0.1,3.5,,,1.1,-1.2,,,0.4,1.8,-3.2,5.4,NA,0.9,0.2,0.7,1.5,1.1,,SUPP,0.7,2.7,2.9,,,,,,,,,,,,,,,0,,Maths progress measure for pupils with high prior attainment
1234,KS2_19,MATPROG_H_LOWER,,-3.9,-0.3,-1.7,-1.6,-3.1,-1.3,-0.3,NA,-0.6,-4.4,-0.8,-2.1,-2.7,1.3,,,-0.5,-4.5,,,-1.5,-1.8,-6,2.8,NA,-1.3,-2.2,-1.1,-1.8,-1.9,,SUPP,-1.5,-1,0.6,,,,,,,,,,,,,,,0,,Maths progress measure for pupils with high prior attainment - lower confidence limit
1235,KS2_19,MATPROG_H_UPPER,,0.8,7.6,3.3,4.5,0,3.5,2.7,NA,6.9,2,4.5,2.9,2.9,5.7,,,2.8,2.2,,,2.4,5.3,-0.4,8,NA,3.2,2.6,2.4,4.9,4.2,,SUPP,2.9,6.4,5.2,,,,,,,,,,,,,,,0,,Maths progress measure for pupils with high prior attainment - upper confidence limit
1236,KS2_19,MATPROG_FSM6CLA1A,,-0.1,4.9,SUPP,-0.8,-3,1.6,1.3,-3.9,1.7,-0.5,0.9,2.3,0.1,2.9,,,-6.1,-2.5,,,0.7,0.4,-2.3,3.6,-5.8,0.2,0.5,-1.7,-0.3,-0.5,,0.2,-2.2,1.2,2,,,,,,,,,,,,,,,-0.7,,Maths progress measure for disadvantaged pupils
1237,KS2_19,MATPROG_FSM6CLA1A_LOWER,,-2.1,2.1,SUPP,-4.3,-4.4,-0.9,-0.2,-7.3,-1,-3.4,-1.2,0.4,-1.6,1.2,,,-9.9,-4.4,,,-1.3,-3.4,-4.1,1.9,-8.7,-3.3,-1.2,-3.8,-3.2,-2.7,,-2.6,-4.6,-0.9,0.3,,,,,,,,,,,,,,,0,,Maths progress measure for disadvantaged pupils - lower confidence limit
1238,KS2_19,MATPROG_FSM6CLA1A_UPPER,,1.9,7.6,SUPP,2.7,-1.6,4.1,2.8,-0.6,4.4,2.3,2.9,4.3,1.8,4.6,,,-2.4,-0.5,,,2.7,4.1,-0.5,5.3,-2.9,3.7,2.3,0.4,2.7,1.7,,2.9,0.2,3.3,3.7,,,,,,,,,,,,,,,0,,Maths progress measure for disadvantaged pupils - upper confidence limit
1239,KS2_19,MATPROG_NOTFSM6CLA1A,,-1.1,2.9,SUPP,1.7,-1.2,2.3,2,-2.2,4.8,-2.7,2,1.7,-0.3,4.2,,,0.7,2.5,,,1.1,0.8,-1.8,4.2,-7.6,1,0.6,0.4,1.8,3.6,,4.7,2.1,3.3,2.9,,,,,,,,,,,,,,,0.4,,Maths progress measure for non-disadvantaged pupils
1240,KS2_19,MATPROG_NOTFSM6CLA1A_LOWER,,-3,-0.1,SUPP,-0.5,-2.4,0.7,0.7,-6.2,2.1,-5.6,0,-0.3,-2.9,2.7,,,-0.5,0,,,-0.3,-1.6,-3.9,2.6,-11.9,-0.6,-1.6,-0.9,-0.8,1,,1.4,0.5,1.4,0.4,,,,,,,,,,,,,,,0,,Maths progress measure for non-disadvantaged pupils - lower confidence limit
1241,KS2_19,MATPROG_NOTFSM6CLA1A_UPPER,,0.9,5.8,SUPP,4,-0.1,3.9,3.3,1.8,7.5,0.2,4,3.7,2.4,5.7,,,2,4.9,,,2.5,3.2,0.3,5.7,-3.3,2.5,2.7,1.7,4.5,6.1,,8,3.8,5.2,5.4,,,,,,,,,,,,,,,0,,Maths progress measure for non-disadvantaged pupils - upper confidence limit
1242,KS2_19,DIFFN_MATPROG,,-0.5,4.5,SUPP,-1.2,-3.4,1.2,0.9,-4.3,1.3,-0.9,0.5,1.9,-0.3,2.5,,,-6.5,-2.9,,,0.3,0,-2.7,3.2,-6.2,-0.2,0.1,-2.1,-0.7,-0.9,,-0.2,-2.6,0.8,1.6,,,,,,,,,,,,,,,0,,Difference between maths progress measure for disadvantaged pupils in school and other pupils nationally
1243,KS2_19,MATPROG_EAL,,0.1,5.9,SUPP,1.9,-1.7,2.2,2.3,SUPP,2.1,-1.3,1.8,3.1,0.9,5.6,,,3.1,4.1,,,1.2,1.5,-1.8,3.7,SUPP,2.9,3.8,-0.3,1.3,2.5,,3.3,0.2,4.1,2.8,,,,,,,,,,,,,,,2.1,,Maths progress measure for EAL pupils
1244,KS2_19,MATPROG_EAL_LOWER,,-1.7,2.8,SUPP,-2,-2.7,-0.5,1.2,SUPP,-0.3,-3.6,-0.1,1.1,-1.1,3.3,,,0.9,1.3,,,0,-0.9,-3.3,2.5,SUPP,0.5,1.1,-2.1,-2,-0.3,,-0.4,-2.1,2.3,1.1,,,,,,,,,,,,,,,0,,Maths progress measure for EAL pupils - lower confidence limit
1245,KS2_19,MATPROG_EAL_UPPER,,1.9,8.9,SUPP,5.9,-0.6,4.9,3.5,SUPP,4.5,1,3.6,5,3,8,,,5.3,6.9,,,2.3,3.9,-0.3,5,SUPP,5.3,6.5,1.6,4.7,5.2,,7.1,2.5,5.8,4.5,,,,,,,,,,,,,,,0,,Maths progress measure for EAL pupils - upper confidence limit
1246,KS2_19,MATPROG_MOBN,,-0.6,3.9,1.1,1,-1.9,2,1.7,-2.4,3.9,-1.6,1.4,2,0.3,3.8,,,0.1,-0.6,,,1.1,0.7,-2.2,4,-5.6,0.9,0.5,0,0.9,1.7,,2.3,0.8,2.5,2.3,,,,,,,,,,,,,,,0.1,,Maths progress measure for non-mobile pupils
1247,KS2_19,MATPROG_MOBN_LOWER,,-2,1.9,-0.9,-0.9,-2.8,0.7,0.7,-5.1,1.9,-3.6,-0.1,0.6,-1.1,2.6,,,-1,-2.1,,,0,-1.4,-3.5,2.9,-8,-0.5,-0.9,-1.1,-1.1,-0.1,,0.1,-0.6,1.1,0.8,,,,,,,,,,,,,,,0,,Maths progress measure for non-mobile pupils - lower confidence limit
1248,KS2_19,MATPROG_MOBN_UPPER,,0.9,5.9,3.1,2.9,-1,3.4,2.7,0.3,5.8,0.4,2.8,3.4,1.8,4.9,,,1.3,1,,,2.3,2.7,-0.8,5.2,-3.1,2.4,1.8,1.1,2.8,3.4,,4.5,2.2,3.9,3.8,,,,,,,,,,,,,,,0,,Maths progress measure for non-mobile pupils - upper confidence limit
1249,KS2_19,READ_AVERAGE_B,,101,104,111,104,104,104,104,,105,101,103,104,102,104,,,106,97,,,101,104,100,105,,107,101,104,105,107,,102,107,102,107,,,,,,,,,,,,,,,103,,Average scaled score in reading for boys
1250,KS2_19,READ_AVERAGE_G,,102,104,112,108,105,106,106,SUPP,107,104,107,106,102,106,,,109,101,,,101,106,101,108,SUPP,108,102,109,105,107,,104,108,105,107,,,,,,,,,,,,,,,106,,Average scaled score in reading for girls
1251,KS2_19,READ_AVERAGE_L,,90,98,,,85,SUPP,SUPP,,SUPP,SUPP,SUPP,97,90,92,,,95,92,,,91,SUPP,96,88,,SUPP,SUPP,SUPP,,SUPP,,SUPP,SUPP,96,SUPP,,,,,,,,,,,,,,,93,,Average scaled score in reading for pupils with low prior attainment
1252,KS2_19,READ_AVERAGE_M,,100,104,109,103,103,102,101,SUPP,107,98,104,104,102,104,,,103,99,,,101,103,100,107,SUPP,105,100,104,103,106,,102,105,103,104,,,,,,,,,,,,,,,102,,Average scaled score in reading for pupils with medium prior attainment
1253,KS2_19,READ_AVERAGE_H,,109,109,114,111,109,110,111,,110,109,113,110,111,112,,,112,108,,,108,110,108,115,,113,107,112,110,114,,SUPP,113,115,111,,,,,,,,,,,,,,,110,,Average scaled score in reading for pupils with high prior attainment
1254,KS2_19,READ_AVERAGE_FSM6CLA1A,,103,105,SUPP,106,104,103,104,,106,101,104,102,104,104,,,99,100,,,98,105,101,105,,107,100,102,103,106,,100,102,102,107,,,,,,,,,,,,,,,102,,Average scaled score in reading for disadvantaged pupils
1255,KS2_19,READ_AVERAGE_NOTFSM6CLA1A,,101,103,SUPP,106,104,105,105,,107,104,106,107,100,106,,,108,99,,,102,105,101,108,,108,104,109,107,108,,106,110,105,107,,,,,,,,,,,,,,,105,,Average scaled score in reading for non-disadvantaged pupils
